"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2019","22.473","21.950","22.575","21.800","4.83K","2.23%"
"12/31/2018","21.982","22.850","22.850","21.950","1.90K","-3.63%"
"12/28/2018","22.810","23.450","23.600","22.675","5.99K","-2.19%"
"12/27/2018","23.320","23.900","23.900","23.300","13.50K","-3.82%"
"12/24/2018","24.247","24.750","24.750","24.080","3.88K","-2.62%"
"12/21/2018","24.900","24.745","24.920","24.500","11.75K","1.20%"
"12/20/2018","24.605","24.450","24.775","24.100","12.39K","1.63%"
"12/19/2018","24.210","24.000","24.450","24.000","12.63K","2.01%"
"12/18/2018","23.732","24.180","24.215","23.700","13.02K","-3.85%"
"12/17/2018","24.681","24.500","24.895","24.425","12.06K","0.14%"
"12/14/2018","24.646","24.200","24.825","24.200","8.57K","1.73%"
"12/13/2018","24.226","24.450","24.500","24.090","11.20K","1.28%"
"12/12/2018","23.920","23.550","24.250","23.500","10.59K","1.27%"
"12/11/2018","23.621","23.300","23.700","23.275","7.36K","1.60%"
"12/10/2018","23.250","23.100","23.500","23.100","4.95K","0.46%"
"12/07/2018","23.143","23.000","23.325","22.655","11.20K","-0.10%"
"12/06/2018","23.166","23.210","23.400","23.100","8.00K","-2.75%"
"12/05/2018","23.822","24.400","24.475","23.650","11.62K","-2.44%"
"12/04/2018","24.417","25.000","25.000","24.350","5.95K","-2.66%"
"12/03/2018","25.083","25.000","25.700","24.775","7.40K","1.59%"
"11/30/2018","24.691","24.650","24.875","24.600","5.66K","0.24%"
"11/29/2018","24.633","24.600","24.675","24.350","19.82K","1.36%"
"11/28/2018","24.302","24.400","24.555","24.175","9.38K","-3.41%"
"11/27/2018","25.159","24.500","25.250","24.475","17.39K","2.51%"
"11/26/2018","24.543","24.150","24.705","24.000","10.08K","-1.11%"
"11/23/2018","24.819","24.250","25.175","24.250","9.77K","0.44%"
"11/22/2018","24.710","24.150","24.785","23.930","8.99K","0.86%"
"11/21/2018","24.500","24.350","24.550","24.025","14.15K","0.61%"
"11/20/2018","24.352","24.400","24.525","24.200","12.37K","0.83%"
"11/19/2018","24.152","24.425","24.450","24.000","8.11K","-6.95%"
"11/16/2018","25.956","26.850","26.850","25.650","14.55K","-2.70%"
"11/15/2018","26.677","26.300","26.750","25.900","8.29K","1.52%"
"11/14/2018","26.278","26.500","27.000","26.175","5.59K","-0.91%"
"11/13/2018","26.519","26.100","26.600","25.725","9.45K","2.17%"
"11/12/2018","25.955","25.600","26.150","25.500","7.29K","6.70%"
"11/09/2018","24.326","24.600","24.850","24.310","5.44K","-0.42%"
"11/08/2018","24.429","25.000","25.135","24.325","11.06K","0.04%"
